ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Automation Status,Area Path,State,Tags
"100630","Test Case","[1.4.4] Redimensionar texto",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Hacer zoom al 200% en navegador","Texto debe ser legible y contenido accesible sin scroll horizontal ni superposiciones",,,,
,,,"2","Verificar que controles y botones permanezcan operables al hacer zoom","Elementos interactivos no deben quedar cortados u ocultos al aumentar tamaño de texto",,,,
"100631","Test Case","[1.4.5] Imágenes de texto",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar texto renderizado como imagen","Texto debe estar en HTML real, no en imágenes (excepto logos o casos especiales)",,,,
,,,"2","Inspeccionar gráficos y banners en busca de texto embebido","Títulos, etiquetas y texto informativo deben ser texto HTML estilizado con CSS, no imágenes",,,,
"100632","Test Case","[1.4.6] Contraste mejorado",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Medir contraste de texto en elementos críticos con herramientas de análisis","Texto normal: mínimo 7:1, texto grande: mínimo 4.5:1 para cumplimiento AAA",,,,
,,,"2","Documentar excepciones y planificar mejoras de contraste","Identificar áreas que no cumplen AAA y priorizar cambios en elementos más críticos",,,,
"100633","Test Case","[1.4.7] Audio de fondo bajo o nulo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Reproducir contenido de audio y evaluar presencia de sonido de fondo","Audio de fondo debe ser removible, estar 20dB más bajo que el audio principal, o no existir",,,,
,,,"2","Verificar control para desactivar música de fondo si existe","Usuario debe poder silenciar o reducir audio ambiental sin afectar narración principal",,,,
"100634","Test Case","[1.4.8] Presentación visual",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Verificar si el usuario puede personalizar espaciado, ancho de columna, alineación y fuentes","Sistema debe permitir ajustes de presentación visual sin pérdida de funcionalidad o contenido",,,,
,,,"2","Probar legibilidad con configuraciones de sistema operativo (tamaño texto, contraste alto)","Contenido debe respetar preferencias del usuario definidas a nivel de sistema",,,,
"100635","Test Case","[1.4.9] Imágenes de texto sin excepción",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar exhaustivamente todo el sitio en busca de texto renderizado como imagen","No debe existir texto en formato de imagen, todo debe ser texto HTML real (sin excepciones salvo logotipos)",,,,
,,,"2","Inspeccionar elementos decorativos y verificar que texto sea estilizado con CSS","Efectos visuales en texto deben lograrse con CSS, no convirtiendo texto en imágenes",,,,
"100636","Test Case","[1.4.10] Reflujo de contenido",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Ajustar ventana a 320px de ancho o hacer zoom 400%","No debe requerirse scroll horizontal para leer contenido (excepto tablas complejas)",,,,
,,,"2","Probar en dispositivo móvil real con viewport estrecho","Todo el contenido debe adaptarse fluidamente sin recortes ni necesidad de scroll bidireccional",,,,
"100637","Test Case","[1.4.11] Contraste no textual",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Medir contraste de componentes UI y estados de foco","Contraste mínimo 3:1 para bordes de componentes, iconos funcionales y indicadores de foco",,,,
,,,"2","Verificar contraste de elementos gráficos informativos (gráficas, iconos de estado)","Elementos visuales que transmiten información deben distinguirse claramente del fondo",,,,
"100638","Test Case","[1.4.12] Espaciado de texto",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Aplicar CSS de espaciado aumentado (line-height: 1.5, letter-spacing: 0.12em, etc)","Contenido debe permanecer legible y funcional sin recortes ni superposiciones",,,,
,,,"2","Verificar que botones y controles no se rompan con espaciado modificado","Elementos interactivos deben mantener su funcionalidad y legibilidad con espaciados personalizados",,,,
"100639","Test Case","[1.4.13] Contenido en hover o focus",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Activar tooltips y contenido emergente con hover y teclado","Contenido adicional debe ser accesible por teclado, permanecer visible y poder cerrarse sin mover puntero",,,,
,,,"2","Verificar que contenido emergente no desaparezca al mover puntero sobre él","Usuario debe poder mover cursor sobre tooltip para leer o interactuar sin que desaparezca",,,,
,,,"3","Comprobar mecanismo de cierre accesible (ESC o botón cerrar)","Contenido emergente debe poder cerrarse sin mover puntero del trigger que lo activó",,,,
"100640","Test Case","[2.1.1] Teclado - Acceso completo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar todo el sitio usando solo teclado (Tab, Enter, Space, flechas)","Todas las funciones deben ser operables: menús, modales, formularios, controles interactivos",,,,
,,,"2","Probar componentes complejos (acordeones, pestañas, calendarios)","Widgets personalizados deben responder a teclas apropiadas (flechas, Home, End, Escape)",,,,
,,,"3","Verificar que todas las acciones de mouse tengan equivalente de teclado","Drag and drop, hover menus, gestos táctiles deben tener alternativas operables por teclado",,,,
"100641","Test Case","[2.1.2] Sin trampas de teclado",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar con Tab a través de todos los componentes","Usuario debe poder salir de cualquier componente usando solo teclado (Tab, Shift+Tab, Esc)",,,,
,,,"2","Probar modales, diálogos y overlays con navegación de teclado","Foco debe poder moverse libremente dentro del componente y salir de él sin quedar atrapado",,,,
"100642","Test Case","[2.1.3] Teclado sin excepción",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Verificar que absolutamente todas las funciones sean operables por teclado","No debe haber ninguna función que requiera mouse o gestos, todas deben tener equivalente de teclado",,,,
,,,"2","Documentar funciones que requieren trayectoria específica del puntero","Si función requiere path específico (firma, dibujo), debe existir alternativa de teclado o método alternativo",,,,
"100643","Test Case","[2.1.4] Atajos de teclado",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Probar atajos de teclado de caracteres individuales si existen","Atajos deben poder desactivarse, remapearse o solo funcionar cuando componente tiene foco",,,,
,,,"2","Verificar que atajos no interfieran con lectores de pantalla o herramientas asistivas","Combinaciones de teclas deben evitar conflictos con comandos de tecnologías asistivas",,,,
"100644","Test Case","[2.2.1] Tiempo ajustable",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar temporizadores o sesiones con límite de tiempo","Usuario debe poder extender, ajustar o desactivar límites de tiempo antes de expirar",,,,
,,,"2","Verificar advertencia previa antes de que expire el tiempo","Sistema debe alertar con suficiente anticipación y permitir extensión simple (ej: presionar botón)",,,,
"100645","Test Case","[2.2.2] Pausar, detener, ocultar",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar contenido en movimiento automático (carruseles, animaciones)","Debe existir control accesible para pausar, detener u ocultar contenido que se mueve más de 5 segundos",,,,
,,,"2","Verificar que control de pausa sea visible y operable por teclado","Botones de pausa/play deben estar claramente visibles y accesibles sin necesidad de mouse",,,,
"100646","Test Case","[2.2.3] Sin límites de tiempo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar todos los procesos y verificar existencia de timeouts","No debe haber límites de tiempo en ninguna interacción, o deben existir alternativas sin tiempo",,,,
,,,"2","Documentar excepciones donde tiempo sea requisito real-time","Identificar eventos en vivo o subastas donde límite de tiempo sea esencial y no pueda eliminarse",,,,
"100647","Test Case","[2.2.4] Interrupciones",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Probar interrupciones del sistema (notificaciones, alertas automáticas)","Usuario debe poder posponer o suprimir interrupciones excepto emergencias",,,,
,,,"2","Verificar configuración de preferencias de notificaciones","Sistema debe ofrecer controles para gestionar frecuencia y tipo de interrupciones",,,,
"100648","Test Case","[2.2.5] Re-autenticación",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Dejar sesión expirar y volver a autenticarse","Datos ingresados deben preservarse tras re-autenticación sin pérdida de información",,,,
,,,"2","Probar con formularios largos y verificar recuperación de datos","Información en progreso debe guardarse automáticamente o recuperarse después de relogin",,,,
"100649","Test Case","[2.2.6] Timeouts con advertencia",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar timeouts de sesión y verificar manejo","Sistema debe advertir sobre timeouts con suficiente anticipación y permitir guardar datos",,,,
,,,"2","Verificar que usuario pueda guardar trabajo antes de timeout","Aviso debe incluir opción clara para guardar progreso o extender sesión",,,,
"100650","Test Case","[2.3.1] Tres destellos o menos",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar animaciones y transiciones del sitio","No debe haber contenido que destelle más de 3 veces por segundo",,,,
,,,"2","Usar herramienta PEAT (Photosensitive Epilepsy Analysis Tool) si disponible","Analizar contenido multimedia para identificar destellos que puedan causar convulsiones",,,,
"100651","Test Case","[2.3.2] Tres destellos sin excepción",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Analizar exhaustivamente animaciones, videos y contenido dinámico","No debe existir ningún destello que supere límites seguros, sin excepciones",,,,
,,,"2","Revisar contenido de terceros embebido (ads, videos externos)","Contenido externo no debe contener destellos peligrosos o debe poder desactivarse",,,,
"100652","Test Case","[2.3.3] Animación por interacciones",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Verificar animaciones de movimiento activadas por scroll o interacción","Usuario debe poder desactivar animaciones de movimiento que no sean esenciales",,,,
,,,"2","Comprobar respeto a preferencia prefers-reduced-motion del sistema","Sitio debe detectar y respetar configuración de sistema operativo para reducir movimiento",,,,
"100653","Test Case","[2.4.1] Saltar bloques",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar con teclado desde inicio de página","Debe existir enlace 'Saltar al contenido principal' visible al presionar Tab o landmarks ARIA apropiados",,,,
,,,"2","Verificar landmarks ARIA (main, nav, complementary, contentinfo)","Estructura debe usar roles de landmark para permitir navegación rápida con lectores de pantalla",,,,
"100654","Test Case","[2.4.2] Título de página",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar elemento <title> en cada página del sitio","Cada página debe tener título único y descriptivo que identifique su contenido",,,,
,,,"2","Verificar que título siga formato consistente (contenido - sección - nombre sitio)","Títulos deben seguir patrón predecible facilitando identificación en pestañas e historial",,,,
"100655","Test Case","[2.4.3] Orden de foco",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar con Tab en orden y verificar lógica visual","Orden de foco debe seguir secuencia lógica de izquierda a derecha, arriba a abajo",,,,
,,,"2","Identificar elementos con tabindex positivo y evaluar necesidad","Evitar tabindex mayor a 0, orden debe controlarse mediante estructura DOM lógica",,,,
"100656","Test Case","[2.4.4] Propósito del enlace en contexto",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar todos los enlaces del sitio","Texto del enlace o contexto circundante debe describir claramente su destino (evitar 'clic aquí')",,,,
,,,"2","Usar lector de pantalla para listar todos los enlaces","Enlaces deben ser comprensibles cuando se presentan fuera de contexto en lista de enlaces",,,,
"100657","Test Case","[2.4.5] Múltiples vías de navegación",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Intentar localizar una página interna de diferentes formas","Debe existir menú de navegación, buscador interno, mapa del sitio o breadcrumbs",,,,
,,,"2","Verificar que al menos dos métodos de navegación estén disponibles","Usuario debe poder elegir entre diferentes estrategias para localizar contenido",,,,
"100658","Test Case","[2.4.6] Encabezados y etiquetas descriptivos",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Inspeccionar encabezados (h1-h6) y labels de formularios","Encabezados deben describir secciones claramente, labels deben identificar propósito de campos",,,,
,,,"2","Usar lector de pantalla para navegar por encabezados","Estructura de encabezados debe permitir comprensión rápida de organización del contenido",,,,
"100659","Test Case","[2.4.7] Foco visible",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar con Tab y observar indicador de foco","Elementos interactivos deben mostrar indicador visual claro y contrastado al recibir foco",,,,
,,,"2","Verificar que outline no esté desactivado sin reemplazo visual","Si se elimina outline predeterminado, debe existir indicador alternativo igualmente visible",,,,
"100660","Test Case","[2.4.8] Ubicación en estructura",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar por diferentes secciones del sitio y verificar indicadores de ubicación","Debe existir breadcrumbs, títulos de sección o indicadores que muestren ubicación del usuario",,,,
,,,"2","Revisar que breadcrumbs sean accesibles y reflejen jerarquía correcta","Migas de pan deben ser navegables por teclado y estructuradas con lista ordenada",,,,
"100661","Test Case","[2.4.9] Propósito del enlace solo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar texto de enlaces aisladamente, sin contexto circundante","Cada enlace debe ser comprensible por sí mismo sin necesidad de contexto adicional",,,,
,,,"2","Identificar enlaces genéricos ('más información', 'leer más') y mejorarlos","Enlaces ambiguos deben incluir contexto adicional mediante aria-label o aria-describedby",,,,
"100662","Test Case","[2.4.10] Encabezados de sección",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Revisar estructura de contenido y uso de encabezados","Contenido debe organizarse con encabezados descriptivos que dividan información en secciones lógicas",,,,
,,,"2","Verificar que no existan bloques de texto largos sin encabezados intermedios","Contenido extenso debe subdividirse con encabezados que faciliten escaneo y navegación",,,,
"100663","Test Case","[2.4.11] Foco no oscurecido mínimo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Navegar con teclado y verificar visibilidad del foco en elementos cerca de bordes","Al menos parte del indicador de foco debe permanecer visible, no completamente oculto por otros elementos",,,,
,,,"2","Probar navegación en áreas con headers fijos o elementos flotantes","Barras pegajosas no deben cubrir completamente el elemento enfocado",,,,
"100664","Test Case","[2.4.12] Foco no oscurecido mejorado",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Verificar que el foco sea completamente visible en todas las situaciones","Indicador de foco debe estar completamente visible sin ninguna obstrucción por otros elementos",,,,
,,,"2","Implementar scroll automático cuando elemento recibe foco fuera de viewport","Contenido debe ajustarse automáticamente para mostrar completamente el elemento enfocado",,,,
"100665","Test Case","[2.4.13] Apariencia de foco mejorada",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Medir área y contraste del indicador de foco con herramientas especializadas","Indicador debe tener área mínima suficiente y contraste alto para máxima visibilidad",,,,
,,,"2","Calcular que indicador tenga perímetro mínimo de 2 píxeles CSS o área equivalente","Grosor y área del indicador deben cumplir requisitos específicos de WCAG 2.2",,,,
"100666","Test Case","[2.5.1] Gestos pointer simples",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar funciones activadas por gestos complejos (deslizar, pellizcar)","Funciones deben tener alternativa con gestos simples de un punto (tap, clic)",,,,
,,,"2","Verificar carruseles, mapas y componentes deslizables","Debe existir botones o controles alternativos para usuarios con limitaciones motoras",,,,
"100667","Test Case","[2.5.2] Cancelación de pointer",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Probar activación de elementos interactivos","Función no debe ejecutarse en mousedown/touchstart, debe permitir cancelar soltando fuera del objetivo",,,,
,,,"2","Verificar que clics accidentales puedan cancelarse arrastrando fuera","Usuario debe poder deshacer activación accidental moviendo puntero antes de soltar",,,,
"100668","Test Case","[2.5.3] Etiqueta en el nombre accesible",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Inspeccionar con lector de pantalla controles con etiquetas visibles","Nombre accesible del control debe incluir el texto de su etiqueta visible",,,,
,,,"2","Verificar que comandos de voz puedan activar controles usando texto visible","Usuarios de control por voz deben poder decir texto visible para activar elemento",,,,
"100669","Test Case","[2.5.4] Actuación por movimiento",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar funciones que usan acelerómetro o giroscopio","Funciones activadas por movimiento del dispositivo deben tener alternativa con UI estándar",,,,
,,,"2","Verificar configuración para desactivar actuación por movimiento","Usuario debe poder deshabilitar respuestas a movimiento para evitar activaciones accidentales",,,,
"100670","Test Case","[2.5.6] Mecanismos de entrada concurrentes",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Probar sitio con múltiples dispositivos de entrada simultáneos (teclado + mouse + touch)","Sitio debe soportar uso simultáneo de diferentes mecanismos de entrada sin restricciones",,,,
,,,"2","Verificar que cambiar de método de entrada no cause pérdida de funcionalidad","Usuario debe poder alternar libremente entre teclado, mouse y touch sin problemas",,,,
"100671","Test Case","[2.5.7] Movimientos de arrastre",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar funciones de arrastrar y soltar","Funciones de drag and drop deben tener alternativa con clics o taps simples",,,,
,,,"2","Probar alternativas de teclado para reordenar elementos","Listas reordenables deben poder manipularse con teclado (flechas + Space/Enter)",,,,
"100672","Test Case","[2.5.8] Tamaño objetivo mínimo",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Medir dimensiones de controles táctiles (botones, enlaces)","Objetivos táctiles deben tener mínimo 24x24 píxeles CSS o espaciado equivalente",,,,
,,,"2","Verificar espaciado entre objetivos táctiles adyacentes","Si objetivos son menores a 24px, debe existir espacio suficiente alrededor para evitar errores",,,,
"100673","Test Case","[3.1.1] Idioma de la página",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Inspeccionar atributo lang en etiqueta <html>","Atributo lang debe estar presente y especificar idioma correcto del contenido principal",,,,
,,,"2","Verificar con lector de pantalla que pronunciación sea correcta","Lector debe usar voz y reglas de pronunciación apropiadas al idioma declarado",,,,
"100674","Test Case","[3.1.2] Idioma de partes",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar fragmentos de texto en idioma diferente al principal","Elementos con cambio de idioma deben tener atributo lang apropiado",,,,
,,,"2","Probar lectura con lector de pantalla de citas o términos en otro idioma","Cambios de idioma deben ser reconocidos y pronunciados correctamente",,,,
"100675","Test Case","[3.1.3] Palabras inusuales",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar jerga, términos técnicos o palabras inusuales en el contenido","Debe existir glosario, definiciones inline o mecanismo para explicar términos poco comunes",,,,
,,,"2","Verificar accesibilidad de definiciones mediante enlaces o elementos dfn/abbr","Términos especializados deben vincularse a explicaciones accesibles",,,,
"100676","Test Case","[3.1.4] Abreviaturas",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Localizar abreviaturas y acrónimos en el contenido","Primera instancia de abreviaturas debe incluir expansión completa o enlace a definición",,,,
,,,"2","Implementar elemento abbr con atributo title donde sea apropiado","Abreviaturas deben marcarse semánticamente para tecnologías asistivas",,,,
"100677","Test Case","[3.1.5] Nivel de lectura",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Evaluar complejidad del texto y nivel de lectura requerido","Contenido complejo debe tener versión simplificada o resumen para nivel de educación secundaria básica",,,,
,,,"2","Usar herramientas de análisis de legibilidad (Flesch-Kincaid, INFLESZ)","Medir índices de legibilidad y proporcionar alternativas para contenido técnico o complejo",,,,
"100678","Test Case","[3.1.6] Pronunciación",,,,"Not Automated","Accesibilidad","Ready","A11Y"
,,,"1","Identificar palabras donde pronunciación sea crítica para comprensión","Debe existir mecanismo para indicar pronunciación (IPA, audio, texto fonético)",,,,
