"﻿TCID","Test Summary","Issue Type","Priority","Labels","Step #","Action","Data","Expected Result"
"13","","","","","2","Verify that critical information does not rely solely on sensory elements","","Errors, alerts, or process steps must be communicated with text in addition to color, icons, or sounds"
"14","TC - [A11y] - 1.3 - Adaptable - 1.3.4 - Orientation","Test","Medium","A11Y;AA","1","Rotate device or change browser orientation","","Content must work in portrait and landscape orientation without loss of functionality"
"14","","","","","2","Verify that content is not locked to a single orientation","","Application must not force specific orientation unless essential (e.g., piano app, bank check)"
"15","TC - [A11y] - 1.3 - Adaptable - 1.3.5 - Identify Input Purpose","Test","Medium","A11Y;AA","1","Inspect form fields in source code","","Common fields (name, email, phone) must have appropriate autocomplete attribute"
"15","","","","","2","Test autocomplete with browser saved data","","Fields with correct autocomplete must suggest user saved values when typing begins"
"16","TC - [A11y] - 1.3 - Adaptable - 1.3.6 - Identify Purpose","Test","Medium","A11Y;AAA","1","Review complex UI components and verify programmatic purpose","","Components must identify their purpose through ARIA attributes or HTML semantics for assistive technologies"
"16","","","","","2","Verify icons and interactive elements with accessibility inspector","","Buttons, links, and icons must expose their function through appropriate roles and accessible names"
"17","TC - [A11y] - 1.4 - Distinguishable - 1.4.1 - Use of Color","Test","Medium","A11Y;A","1","Identify elements where color conveys information (errors, states, links)","","Information conveyed by color must include additional indicator (text, icon, pattern)"
"17","","","","","2","Test site in grayscale mode or with color blindness simulator","","All information must remain comprehensible without relying on color to distinguish elements"
"18","TC - [A11y] - 1.4 - Distinguishable - 1.4.2 - Audio Control","Test","Medium","A11Y;A","1","Access pages with auto-playing audio","","A visible control must exist to pause, stop, or mute audio playing for more than 3 seconds"
"18","","","","","2","Verify that audio control is keyboard accessible","","Control must be operable without mouse, using Tab and Enter/Space"
"19","TC - [A11y] - 1.4 - Distinguishable - 1.4.3 - Contrast (Minimum)","Test","Medium","A11Y;AA","1","Measure text contrast with tool (e.g., Colour Contrast Analyser)","","Normal text: minimum 4.5:1, large text (18pt+ or 14pt bold+): minimum 3:1"
"19","","","","","2","Verify contrast in all states (normal, hover, focus, disabled)","","All interactive element states must meet required contrast ratios"
"19","","","","","3","Review text over images or gradient backgrounds","","Overlaid text must have sufficient contrast throughout or use shadows/overlays"
"20","TC - [A11y] - 1.4 - Distinguishable - 1.4.4 - Resize Text","Test","Medium","A11Y;AA","1","Zoom to 200% in browser","","Text must be readable and content accessible without horizontal scroll or overlaps"
"20","","","","","2","Verify that controls and buttons remain operable when zoomed","","Interactive elements must not be clipped or hidden when text size is increased"
"21","TC - [A11y] - 1.4 - Distinguishable - 1.4.5 - Images of Text","Test","Medium","A11Y;AA","1","Identify text rendered as image","","Text must be in real HTML, not images (except logos or special cases)"
"21","","","","","2","Inspect graphics and banners for embedded text","","Titles, labels, and informative text must be CSS-styled HTML text, not images"
"22","TC - [A11y] - 1.4 - Distinguishable - 1.4.6 - Contrast (Enhanced)","Test","Medium","A11Y;AAA","1","Measure text contrast in critical elements with analysis tools","","Normal text: minimum 7:1, large text: minimum 4.5:1 for AAA compliance"
"22","","","","","2","Document exceptions and plan contrast improvements","","Identify areas not meeting AAA and prioritize changes in most critical elements"
"23","TC - [A11y] - 1.4 - Distinguishable - 1.4.7 - Low or No Background Audio","Test","Medium","A11Y;AAA","1","Play audio content and evaluate background sound presence","","Background audio must be removable, 20dB lower than main audio, or non-existent"
"23","","","","","2","Verify control to disable background music if present","","User must be able to mute or reduce ambient audio without affecting main narration"
"24","TC - [A11y] - 1.4 - Distinguishable - 1.4.8 - Visual Presentation","Test","Medium","A11Y;AAA","1","Verify if user can customize spacing, column width, alignment, and fonts","","System must allow visual presentation adjustments without loss of functionality or content"
"24","","","","","2","Test readability with OS settings (text size, high contrast)","","Content must respect user preferences defined at system level"
"25","TC - [A11y] - 1.4 - Distinguishable - 1.4.9 - Images of Text (No Exception)","Test","Medium","A11Y;AAA","1","Thoroughly review entire site for text rendered as images","","No text in image format must exist, all must be real HTML text (no exceptions except logos)"
"25","","","","","2","Inspect decorative elements and verify text is styled with CSS","","Visual text effects must be achieved with CSS, not by converting text to images"
"26","TC - [A11y] - 1.4 - Distinguishable - 1.4.10 - Reflow","Test","Medium","A11Y;AA","1","Resize window to 320px width or zoom to 400%","","Horizontal scrolling must not be required to read content (except complex tables)"
"26","","","","","2","Test on real mobile device with narrow viewport","","All content must adapt fluidly without clipping or need for bidirectional scrolling"
"27","TC - [A11y] - 1.4 - Distinguishable - 1.4.11 - Non-text Contrast","Test","Medium","A11Y;AA","1","Measure contrast of UI components and focus states","","Minimum 3:1 contrast for component borders, functional icons, and focus indicators"
"27","","","","","2","Verify contrast of informative graphic elements (charts, status icons)","","Visual elements conveying information must be clearly distinguishable from background"
"28","TC - [A11y] - 1.4 - Distinguishable - 1.4.12 - Text Spacing","Test","Medium","A11Y;AA","1","Apply increased spacing CSS (line-height: 1.5, letter-spacing: 0.12em, etc.)","","Content must remain readable and functional without clipping or overlaps"
"28","","","","","2","Verify that buttons and controls do not break with modified spacing","","Interactive elements must maintain functionality and readability with custom spacing"
"29","TC - [A11y] - 1.4 - Distinguishable - 1.4.13 - Content on Hover or Focus","Test","Medium","A11Y;AA","1","Activate tooltips and popup content with hover and keyboard","","Additional content must be keyboard accessible, remain visible, and be dismissible without moving pointer"
"29","","","","","2","Verify that popup content does not disappear when moving pointer over it","","User must be able to move cursor over tooltip to read or interact without it disappearing"
"29","","","","","3","Verify accessible dismiss mechanism (ESC or close button)","","Popup content must be dismissible without moving pointer from the trigger that activated it"
"30","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.1 - Keyboard","Test","Medium","A11Y;A","1","Navigate entire site using only keyboard (Tab, Enter, Space, arrows)","","All functions must be operable: menus, modals, forms, interactive controls"
"30","","","","","2","Test complex components (accordions, tabs, calendars)","","Custom widgets must respond to appropriate keys (arrows, Home, End, Escape)"
"30","","","","","3","Verify all mouse actions have keyboard equivalent","","Drag and drop, hover menus, touch gestures must have keyboard-operable alternatives"
"31","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.2 - No Keyboard Trap","Test","Medium","A11Y;A","1","Navigate with Tab through all components","","User must be able to exit any component using only keyboard (Tab, Shift+Tab, Esc)"
"31","","","","","2","Test modals, dialogs, and overlays with keyboard navigation","","Focus must move freely within component and exit without being trapped"
"32","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.3 - Keyboard (No Exception)","Test","Medium","A11Y;AAA","1","Verify that absolutely all functions are keyboard operable","","No function should require mouse or gestures, all must have keyboard equivalent"
"32","","","","","2","Document functions requiring specific pointer path","","If function requires specific path (signature, drawing), keyboard alternative or alternative method must exist"
"33","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.4 - Character Key Shortcuts","Test","Medium","A11Y;A","1","Test single character keyboard shortcuts if they exist","","Shortcuts must be disableable, remappable, or only work when component has focus"
"33","","","","","2","Verify shortcuts do not interfere with screen readers or assistive tools","","Key combinations must avoid conflicts with assistive technology commands"
"34","TC - [A11y] - 2.2 - Enough Time - 2.2.1 - Timing Adjustable","Test","Medium","A11Y;A","1","Identify timers or sessions with time limits","","User must be able to extend, adjust, or disable time limits before expiration"
"34","","","","","2","Verify prior warning before time expires","","System must alert with sufficient advance notice and allow simple extension (e.g., press button)"
"35","TC - [A11y] - 2.2 - Enough Time - 2.2.2 - Pause, Stop, Hide","Test","Medium","A11Y;A","1","Identify auto-moving content (carousels, animations)","","Accessible control must exist to pause, stop, or hide content moving for more than 5 seconds"
"35","","","","","2","Verify pause control is visible and keyboard operable","","Pause/play buttons must be clearly visible and accessible without mouse"
"36","TC - [A11y] - 2.2 - Enough Time - 2.2.3 - No Timing","Test","Medium","A11Y;AAA","1","Review all processes and verify existence of timeouts","","No time limits should exist in any interaction, or timeless alternatives must exist"
"36","","","","","2","Document exceptions where time is a real-time requirement","","Identify live events or auctions where time limit is essential and cannot be removed"
"37","TC - [A11y] - 2.2 - Enough Time - 2.2.4 - Interruptions","Test","Medium","A11Y;AAA","1","Test system interruptions (notifications, automatic alerts)","","User must be able to postpone or suppress interruptions except emergencies"
"37","","","","","2","Verify notification preferences settings","","System must offer controls to manage frequency and type of interruptions"
"38","TC - [A11y] - 2.2 - Enough Time - 2.2.5 - Re-authenticating","Test","Medium","A11Y;AAA","1","Let session expire and re-authenticate","","Entered data must be preserved after re-authentication without information loss"
"38","","","","","2","Test with long forms and verify data recovery","","In-progress information must be auto-saved or recoverable after relogin"
"39","TC - [A11y] - 2.2 - Enough Time - 2.2.6 - Timeouts","Test","Medium","A11Y;AAA","1","Identify session timeouts and verify handling","","System must warn about timeouts with sufficient notice and allow data saving"
"39","","","","","2","Verify user can save work before timeout","","Warning must include clear option to save progress or extend session"
"40","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.1 - Three Flashes or Below Threshold","Test","Medium","A11Y;A","1","Review site animations and transitions","","No content should flash more than 3 times per second"
"40","","","","","2","Use PEAT (Photosensitive Epilepsy Analysis Tool) if available","","Analyze multimedia content to identify flashes that could cause seizures"
"41","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.2 - Three Flashes","Test","Medium","A11Y;AAA","1","Thoroughly analyze animations, videos, and dynamic content","","No flash exceeding safe limits must exist, without exceptions"
"41","","","","","2","Review embedded third-party content (ads, external videos)","","External content must not contain dangerous flashes or must be disableable"
"42","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.3 - Animation from Interactions","Test","Medium","A11Y;AAA","1","Verify motion animations triggered by scroll or interaction","","User must be able to disable non-essential motion animations"
"42","","","","","2","Verify respect for system prefers-reduced-motion preference","","Site must detect and respect OS setting to reduce motion"
"43","TC - [A11y] - 2.4 - Navigable - 2.4.1 - Bypass Blocks","Test","Medium","A11Y;A","1","Navigate with keyboard from page start","","A 'Skip to main content' link must be visible on Tab press or appropriate ARIA landmarks"
"43","","","","","2","Verify ARIA landmarks (main, nav, complementary, contentinfo)","","Structure must use landmark roles to enable quick navigation with screen readers"
"44","TC - [A11y] - 2.4 - Navigable - 2.4.2 - Page Titled","Test","Medium","A11Y;A","1","Review <title> element on each site page","","Each page must have a unique descriptive title identifying its content"
"44","","","","","2","Verify title follows consistent format (content - section - site name)","","Titles must follow predictable pattern facilitating identification in tabs and history"
"45","TC - [A11y] - 2.4 - Navigable - 2.4.3 - Focus Order","Test","Medium","A11Y;A","1","Navigate with Tab in order and verify visual logic","","Focus order must follow logical sequence left to right, top to bottom"
"45","","","","","2","Identify elements with positive tabindex and evaluate necessity","","Avoid tabindex greater than 0, order must be controlled through logical DOM structure"
"46","TC - [A11y] - 2.4 - Navigable - 2.4.4 - Link Purpose (In Context)","Test","Medium","A11Y;A","1","Review all site links","","Link text or surrounding context must clearly describe its destination (avoid 'click here')"
"46","","","","","2","Use screen reader to list all links","","Links must be understandable when presented out of context in link list"
"47","TC - [A11y] - 2.4 - Navigable - 2.4.5 - Multiple Ways","Test","Medium","A11Y;AA","1","Try to locate an internal page in different ways","","Navigation menu, internal search, sitemap, or breadcrumbs must exist"
"47","","","","","2","Verify at least two navigation methods are available","","User must be able to choose between different strategies to locate content"
"48","TC - [A11y] - 2.4 - Navigable - 2.4.6 - Headings and Labels","Test","Medium","A11Y;AA","1","Inspect headings (h1-h6) and form labels","","Headings must clearly describe sections, labels must identify field purpose"
"48","","","","","2","Use screen reader to navigate by headings","","Heading structure must allow quick understanding of content organization"
"49","TC - [A11y] - 2.4 - Navigable - 2.4.7 - Focus Visible","Test","Medium","A11Y;AA","1","Navigate with Tab and observe focus indicator","","Interactive elements must show clear contrasted visual indicator when focused"
"49","","","","","2","Verify outline is not disabled without visual replacement","","If default outline is removed, equally visible alternative indicator must exist"
"50","TC - [A11y] - 2.4 - Navigable - 2.4.8 - Location","Test","Medium","A11Y;AAA","1","Navigate through different site sections and verify location indicators","","Breadcrumbs, section titles, or indicators showing user location must exist"
"50","","","","","2","Review that breadcrumbs are accessible and reflect correct hierarchy","","Breadcrumbs must be keyboard navigable and structured with ordered list"
"51","TC - [A11y] - 2.4 - Navigable - 2.4.9 - Link Purpose (Link Only)","Test","Medium","A11Y;AAA","1","Review link text in isolation, without surrounding context","","Each link must be understandable by itself without need for additional context"
"51","","","","","2","Identify generic links ('more info', 'read more') and improve them","","Ambiguous links must include additional context via aria-label or aria-describedby"
"52","TC - [A11y] - 2.4 - Navigable - 2.4.10 - Section Headings","Test","Medium","A11Y;AAA","1","Review content structure and heading usage","","Content must be organized with descriptive headings dividing information into logical sections"
"52","","","","","2","Verify no long text blocks exist without intermediate headings","","Extensive content must be subdivided with headings facilitating scanning and navigation"
"53","TC - [A11y] - 2.4 - Navigable - 2.4.11 - Focus Not Obscured (Minimum)","Test","Medium","A11Y;AA","1","Navigate with keyboard and verify focus visibility on elements near edges","","At least part of focus indicator must remain visible, not completely hidden by other elements"
"53","","","","","2","Test navigation in areas with sticky headers or floating elements","","Sticky bars must not completely cover the focused element"
"54","TC - [A11y] - 2.4 - Navigable - 2.4.12 - Focus Not Obscured (Enhanced)","Test","Medium","A11Y;AAA","1","Verify focus is completely visible in all situations","","Focus indicator must be completely visible without any obstruction by other elements"
"54","","","","","2","Implement auto-scroll when element receives focus outside viewport","","Content must auto-adjust to fully show the focused element"
"55","TC - [A11y] - 2.4 - Navigable - 2.4.13 - Focus Appearance","Test","Medium","A11Y;AAA","1","Measure focus indicator area and contrast with specialized tools","","Indicator must have sufficient minimum area and high contrast for maximum visibility"
"55","","","","","2","Calculate that indicator has minimum 2 CSS pixels perimeter or equivalent area","","Indicator thickness and area must meet specific WCAG 2.2 requirements"
"56","TC - [A11y] - 2.5 - Input Modalities - 2.5.1 - Pointer Gestures","Test","Medium","A11Y;A","1","Identify functions activated by complex gestures (swipe, pinch)","","Functions must have alternative with simple single-point gestures (tap, click)"
"56","","","","","2","Verify carousels, maps, and swipeable components","","Alternative buttons or controls must exist for users with motor limitations"
"57","TC - [A11y] - 2.5 - Input Modalities - 2.5.2 - Pointer Cancellation","Test","Medium","A11Y;A","1","Test activation of interactive elements","","Function must not execute on mousedown/touchstart, must allow cancellation by releasing outside target"
"57","","","","","2","Verify accidental clicks can be cancelled by dragging outside","","User must be able to undo accidental activation by moving pointer before release"
"58","TC - [A11y] - 2.5 - Input Modalities - 2.5.3 - Label in Name","Test","Medium","A11Y;A","1","Inspect controls with visible labels using screen reader","","Accessible name of control must include text of its visible label"
"58","","","","","2","Verify voice commands can activate controls using visible text","","Voice control users must be able to say visible text to activate element"
"59","TC - [A11y] - 2.5 - Input Modalities - 2.5.4 - Motion Actuation","Test","Medium","A11Y;A","1","Identify functions using accelerometer or gyroscope","","Functions activated by device motion must have standard UI alternative"
"59","","","","","2","Verify setting to disable motion actuation","","User must be able to disable motion responses to avoid accidental activations"
"60","TC - [A11y] - 2.5 - Input Modalities - 2.5.6 - Concurrent Input Mechanisms","Test","Medium","A11Y;AAA","1","Test site with multiple simultaneous input devices (keyboard + mouse + touch)","","Site must support simultaneous use of different input mechanisms without restrictions"
"60","","","","","2","Verify switching input method does not cause loss of functionality","","User must be able to freely switch between keyboard, mouse, and touch without issues"
"61","TC - [A11y] - 2.5 - Input Modalities - 2.5.7 - Dragging Movements","Test","Medium","A11Y;AA","1","Identify drag and drop functions","","Drag and drop functions must have alternative with simple clicks or taps"
"61","","","","","2","Test keyboard alternatives for reordering elements","","Reorderable lists must be manipulable with keyboard (arrows + Space/Enter)"
"62","TC - [A11y] - 2.5 - Input Modalities - 2.5.8 - Target Size (Minimum)","Test","Medium","A11Y;AA","1","Measure dimensions of touch controls (buttons, links)","","Touch targets must have minimum 24x24 CSS pixels or equivalent spacing"
"62","","","","","2","Verify spacing between adjacent touch targets","","If targets are smaller than 24px, sufficient surrounding space must exist to avoid errors"
"63","TC - [A11y] - 3.1 - Readable - 3.1.1 - Language of Page","Test","Medium","A11Y;A","1","Inspect lang attribute on <html> tag","","Lang attribute must be present and specify correct language of main content"
"63","","","","","2","Verify correct pronunciation with screen reader","","Reader must use voice and pronunciation rules appropriate to declared language"
"64","TC - [A11y] - 3.1 - Readable - 3.1.2 - Language of Parts","Test","Medium","A11Y;AA","1","Identify text fragments in language different from main","","Elements with language change must have appropriate lang attribute"
"64","","","","","2","Test screen reader reading of quotes or terms in another language","","Language changes must be recognized and pronounced correctly"
"65","TC - [A11y] - 3.1 - Readable - 3.1.3 - Unusual Words","Test","Medium","A11Y;AAA","1","Identify jargon, technical terms, or unusual words in content","","Glossary, inline definitions, or mechanism to explain uncommon terms must exist"
"65","","","","","2","Verify accessibility of definitions through links or dfn/abbr elements","","Specialized terms must link to accessible explanations"
"66","TC - [A11y] - 3.1 - Readable - 3.1.4 - Abbreviations","Test","Medium","A11Y;AAA","1","Locate abbreviations and acronyms in content","","First instance of abbreviations must include full expansion or link to definition"
"66","","","","","2","Implement abbr element with title attribute where appropriate","","Abbreviations must be semantically marked for assistive technologies"
"67","TC - [A11y] - 3.1 - Readable - 3.1.5 - Reading Level","Test","Medium","A11Y;AAA","1","Evaluate text complexity and required reading level","","Complex content must have simplified version or summary for lower secondary education level"
"67","","","","","2","Use readability analysis tools (Flesch-Kincaid, INFLESZ)","","Measure readability indices and provide alternatives for technical or complex content"
"68","TC - [A11y] - 3.1 - Readable - 3.1.6 - Pronunciation","Test","Medium","A11Y;AAA","1","Identify words where pronunciation is critical for comprehension","","Mechanism to indicate pronunciation must exist (IPA, audio, phonetic text)"
"68","","","","","2","Verify homographs and ambiguous terms with pronunciation guides","","Words with multiple pronunciations must be clarified when context is insufficient"
"69","TC - [A11y] - 3.2 - Predictable - 3.2.1 - On Focus","Test","Medium","A11Y;A","1","Navigate with Tab through interactive elements","","No element should cause context change (navigation, submission) just by receiving focus"
"69","","","","","2","Verify form fields do not submit when focused","","Focus must be independent of activation, changes must only occur with explicit action"
"70","TC - [A11y] - 3.2 - Predictable - 3.2.2 - On Input","Test","Medium","A11Y;A","1","Interact with forms and controls without activating submit button","","Field changes must not cause context change without prior warning or confirmation"
"70","","","","","2","Test selects and radios that may cause automatic navigation","","If change causes action, prior warning or confirmation button must be required"
"71","TC - [A11y] - 3.2 - Predictable - 3.2.3 - Consistent Navigation","Test","Medium","A11Y;AA","1","Compare menus and navigation across different pages","","Repeated navigation elements must appear in same order across all pages"
"71","","","","","2","Document location of global elements (search, login, main menu)","","Common components must maintain consistent position and order throughout site"
"72","TC - [A11y] - 3.2 - Predictable - 3.2.4 - Consistent Identification","Test","Medium","A11Y;AA","1","Identify components with same function across different pages","","Equivalent components must use same labels, icons, and accessible names"
"72","","","","","2","Verify consistency of icons and symbols throughout site","","Same icon must represent same function, avoid different symbols for identical actions"
"73","TC - [A11y] - 3.2 - Predictable - 3.2.5 - Change on Request","Test","Medium","A11Y;AAA","1","Verify significant changes require explicit user action","","Context changes, submissions, or navigation must not occur without explicit confirmation"
"73","","","","","2","Identify and fix automatic submissions or unexpected redirects","","User must initiate all important changes through clear buttons or links"
"74","TC - [A11y] - 3.2 - Predictable - 3.2.6 - Consistent Help","Test","Medium","A11Y;A","1","Search for help mechanisms in different sections","","Help options must appear in consistent location throughout site"
"74","","","","","2","Verify quick access to contact, FAQ, chat, or documentation","","Help must be available predictably in fixed location"
"75","TC - [A11y] - 3.3 - Input Assistance - 3.3.1 - Error Identification","Test","Medium","A11Y;A","1","Submit form with intentional errors","","Errors must be clearly identified in text, visually marked, and announced to screen readers"
"75","","","","","2","Verify error messages use aria-describedby or aria-invalid","","Errors must be programmatically associated with affected fields for assistive technologies"
"75","","","","","3","Verify focus moves to first error or error summary","","After validation, user must be clearly directed to found problems"
"76","TC - [A11y] - 3.3 - Input Assistance - 3.3.2 - Labels or Instructions","Test","Medium","A11Y;A","1","Review all form fields","","Each field must have visible and programmatically associated label, with clear instructions if needed"
"76","","","","","2","Verify fields with specific formats (date, phone, zip code)","","Fields with format requirements must include examples or input masks"
"77","TC - [A11y] - 3.3 - Input Assistance - 3.3.3 - Error Suggestion","Test","Medium","A11Y;AA","1","Trigger validation errors in forms","","Error messages must suggest how to fix the specific problem"
"77","","","","","2","Evaluate message quality: must be specific and solution-oriented","","Errors must explain what is wrong and how to fix it, not just indicate there is an error"
"78","TC - [A11y] - 3.3 - Input Assistance - 3.3.4 - Error Prevention (Legal, Financial, Data)","Test","Medium","A11Y;AA","1","Complete financial or legal transactions if they exist","","Must allow reviewing, confirming, and correcting information before final submission"
"78","","","","","2","Verify confirmation page with option to edit before final submission","","Critical data must be shown in summary with ability to go back and modify"
"79","TC - [A11y] - 3.3 - Input Assistance - 3.3.5 - Help","Test","Medium","A11Y;AAA","1","Search for contextual help in forms and complex tasks","","Available help must exist to complete tasks, visible or easily accessible"
"79","","","","","2","Verify tooltips, help links, or info icons next to complex fields","","Help must be available in context where needed, not only on separate page"
"80","TC - [A11y] - 3.3 - Input Assistance - 3.3.6 - Error Prevention (All)","Test","Medium","A11Y;AAA","1","Identify forms that modify, delete, or compromise user data","","Reversible mechanism (undo), verification (review before submit), or explicit confirmation must exist"
"80","","","","","2","Test form submission with critical information","","System must present review screen where user can verify and correct before confirming"
"80","","","","","3","Verify availability of option to revert completed actions","","Destructive actions must allow undo or have grace period before permanent execution"
"80","","","","","4","Verify explicit confirmations for irreversible actions","","Deletions, transfers, or permanent changes must require clear and specific additional confirmation"
"81","TC - [A11y] - 3.3 - Input Assistance - 3.3.7 - Redundant Entry","Test","Medium","A11Y;A","1","Complete multi-step forms","","Previously provided information must auto-complete or be selectable, not re-entered"
"81","","","","","2","Verify data from previous steps is pre-filled in later steps","","User must not re-type name, address, or other already entered data"
"82","TC - [A11y] - 3.3 - Input Assistance - 3.3.8 - Accessible Authentication (Minimum)","Test","Medium","A11Y;AA","1","Test login and authentication process","","Must offer accessible alternatives to visual CAPTCHA or cognitive tests (email, SMS, biometrics)"
"82","","","","","2","Verify availability of magic link or OTP code authentication","","Alternative methods must be equally secure without requiring visual recognition"
"83","TC - [A11y] - 3.3 - Input Assistance - 3.3.9 - Accessible Authentication (Enhanced)","Test","Medium","A11Y;AAA","1","Evaluate all available authentication methods","","System must offer methods not relying on object recognition or complex cognitive tests"
"83","","","","","2","Document and promote use of biometric authentication or password managers","","Authentication options must include AAA methods not requiring complex memory"
"84","TC - [A11y] - 4.1 - Compatible - 4.1.1 - Parsing (Obsolete and removed)","Test","Medium","A11Y;A","1","Validate HTML with W3C Validator or similar tool","","No critical errors must exist: duplicate IDs, improperly nested tags, missing required attributes"
"84","","","","","2","Review dynamically generated code with browser inspector","","JavaScript generating content must produce valid and well-formed HTML"
