TCID,Test Summary,Issue Type,Priority,Labels,Step #,Action,Data,Expected Result
"30","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.1 - Keyboard","Test","Medium","A11Y;A","1","Navegar todo el sitio usando solo teclado (Tab, Enter, Space, flechas)","","Todas las funciones deben ser operables: menús, modales, formularios, controles interactivos"
"30","","","","","2","Probar componentes complejos (acordeones, pestañas, calendarios)","","Widgets personalizados deben responder a teclas apropiadas (flechas, Home, End, Escape)"
"30","","","","","3","Verificar que todas las acciones de mouse tengan equivalente de teclado","","Drag and drop, hover menus, gestos táctiles deben tener alternativas operables por teclado"
"31","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.2 - No Keyboard Trap","Test","Medium","A11Y;A","1","Navegar con Tab a través de todos los componentes","","Usuario debe poder salir de cualquier componente usando solo teclado (Tab, Shift+Tab, Esc)"
"31","","","","","2","Probar modales, diálogos y overlays con navegación de teclado","","Foco debe poder moverse libremente dentro del componente y salir de él sin quedar atrapado"
"32","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.3 - Keyboard (No Exception)","Test","Medium","A11Y;AAA","1","Verificar que absolutamente todas las funciones sean operables por teclado","","No debe haber ninguna función que requiera mouse o gestos, todas deben tener equivalente de teclado"
"32","","","","","2","Documentar funciones que requieren trayectoria específica del puntero","","Si función requiere path específico (firma, dibujo), debe existir alternativa de teclado o método alternativo"
"33","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.4 - Character Key Shortcuts","Test","Medium","A11Y;A","1","Probar atajos de teclado de caracteres individuales si existen","","Atajos deben poder desactivarse, remapearse o solo funcionar cuando componente tiene foco"
"33","","","","","2","Verificar que atajos no interfieran con lectores de pantalla o herramientas asistivas","","Combinaciones de teclas deben evitar conflictos con comandos de tecnologías asistivas"
"34","TC - [A11y] - 2.2 - Enough Time - 2.2.1 - Timing Adjustable","Test","Medium","A11Y;A","1","Identificar temporizadores o sesiones con límite de tiempo","","Usuario debe poder extender, ajustar o desactivar límites de tiempo antes de expirar"
"34","","","","","2","Verificar advertencia previa antes de que expire el tiempo","","Sistema debe alertar con suficiente anticipación y permitir extensión simple (ej: presionar botón)"
"35","TC - [A11y] - 2.2 - Enough Time - 2.2.2 - Pause, Stop, Hide","Test","Medium","A11Y;A","1","Identificar contenido en movimiento automático (carruseles, animaciones)","","Debe existir control accesible para pausar, detener u ocultar contenido que se mueve más de 5 segundos"
"35","","","","","2","Verificar que control de pausa sea visible y operable por teclado","","Botones de pausa/play deben estar claramente visibles y accesibles sin necesidad de mouse"
"36","TC - [A11y] - 2.2 - Enough Time - 2.2.3 - No Timing","Test","Medium","A11Y;AAA","1","Revisar todos los procesos y verificar existencia de timeouts","","No debe haber límites de tiempo en ninguna interacción, o deben existir alternativas sin tiempo"
"36","","","","","2","Documentar excepciones donde tiempo sea requisito real-time","","Identificar eventos en vivo o subastas donde límite de tiempo sea esencial y no pueda eliminarse"
"37","TC - [A11y] - 2.2 - Enough Time - 2.2.4 - Interruptions","Test","Medium","A11Y;AAA","1","Probar interrupciones del sistema (notificaciones, alertas automáticas)","","Usuario debe poder posponer o suprimir interrupciones excepto emergencias"
"37","","","","","2","Verificar configuración de preferencias de notificaciones","","Sistema debe ofrecer controles para gestionar frecuencia y tipo de interrupciones"
"38","TC - [A11y] - 2.2 - Enough Time - 2.2.5 - Re-authenticating","Test","Medium","A11Y;AAA","1","Dejar sesión expirar y volver a autenticarse","","Datos ingresados deben preservarse tras re-autenticación sin pérdida de información"
"38","","","","","2","Probar con formularios largos y verificar recuperación de datos","","Información en progreso debe guardarse automáticamente o recuperarse después de relogin"
"39","TC - [A11y] - 2.2 - Enough Time - 2.2.6 - Timeouts","Test","Medium","A11Y;AAA","1","Identificar timeouts de sesión y verificar manejo","","Sistema debe advertir sobre timeouts con suficiente anticipación y permitir guardar datos"
"39","","","","","2","Verificar que usuario pueda guardar trabajo antes de timeout","","Aviso debe incluir opción clara para guardar progreso o extender sesión"
"40","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.1 - Three Flashes or Below Threshold","Test","Medium","A11Y;A","1","Revisar animaciones y transiciones del sitio","","No debe haber contenido que destelle más de 3 veces por segundo"
"40","","","","","2","Usar herramienta PEAT (Photosensitive Epilepsy Analysis Tool) si disponible","","Analizar contenido multimedia para identificar destellos que puedan causar convulsiones"
"41","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.2 - Three Flashes","Test","Medium","A11Y;AAA","1","Analizar exhaustivamente animaciones, videos y contenido dinámico","","No debe existir ningún destello que supere límites seguros, sin excepciones"
"41","","","","","2","Revisar contenido de terceros embebido (ads, videos externos)","","Contenido externo no debe contener destellos peligrosos o debe poder desactivarse"
"42","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.3 - Animation from Interactions","Test","Medium","A11Y;AAA","1","Verificar animaciones de movimiento activadas por scroll o interacción","","Usuario debe poder desactivar animaciones de movimiento que no sean esenciales"
"42","","","","","2","Comprobar respeto a preferencia prefers-reduced-motion del sistema","","Sitio debe detectar y respetar configuración de sistema operativo para reducir movimiento"
"43","TC - [A11y] - 2.4 - Navigable - 2.4.1 - Bypass Blocks","Test","Medium","A11Y;A","1","Navegar con teclado desde inicio de página","","Debe existir enlace 'Saltar al contenido principal' visible al presionar Tab o landmarks ARIA apropiados"
"43","","","","","2","Verificar landmarks ARIA (main, nav, complementary, contentinfo)","","Estructura debe usar roles de landmark para permitir navegación rápida con lectores de pantalla"
"44","TC - [A11y] - 2.4 - Navigable - 2.4.2 - Page Titled","Test","Medium","A11Y;A","1","Revisar elemento <title> en cada página del sitio","","Cada página debe tener título único y descriptivo que identifique su contenido"
"44","","","","","2","Verificar que título siga formato consistente (contenido - sección - nombre sitio)","","Títulos deben seguir patrón predecible facilitando identificación en pestañas e historial"
"45","TC - [A11y] - 2.4 - Navigable - 2.4.3 - Focus Order","Test","Medium","A11Y;A","1","Navegar con Tab en orden y verificar lógica visual","","Orden de foco debe seguir secuencia lógica de izquierda a derecha, arriba a abajo"
"45","","","","","2","Identificar elementos con tabindex positivo y evaluar necesidad","","Evitar tabindex mayor a 0, orden debe controlarse mediante estructura DOM lógica"
"46","TC - [A11y] - 2.4 - Navigable - 2.4.4 - Link Purpose (In Context)","Test","Medium","A11Y;A","1","Revisar todos los enlaces del sitio","","Texto del enlace o contexto circundante debe describir claramente su destino (evitar 'clic aquí')"
"46","","","","","2","Usar lector de pantalla para listar todos los enlaces","","Enlaces deben ser comprensibles cuando se presentan fuera de contexto en lista de enlaces"
"47","TC - [A11y] - 2.4 - Navigable - 2.4.5 - Multiple Ways","Test","Medium","A11Y;AA","1","Intentar localizar una página interna de diferentes formas","","Debe existir menú de navegación, buscador interno, mapa del sitio o breadcrumbs"
"47","","","","","2","Verificar que al menos dos métodos de navegación estén disponibles","","Usuario debe poder elegir entre diferentes estrategias para localizar contenido"
"48","TC - [A11y] - 2.4 - Navigable - 2.4.6 - Headings and Labels","Test","Medium","A11Y;AA","1","Inspeccionar encabezados (h1-h6) y labels de formularios","","Encabezados deben describir secciones claramente, labels deben identificar propósito de campos"
"48","","","","","2","Usar lector de pantalla para navegar por encabezados","","Estructura de encabezados debe permitir comprensión rápida de organización del contenido"
"49","TC - [A11y] - 2.4 - Navigable - 2.4.7 - Focus Visible","Test","Medium","A11Y;AA","1","Navegar con Tab y observar indicador de foco","","Elementos interactivos deben mostrar indicador visual claro y contrastado al recibir foco"
"49","","","","","2","Verificar que outline no esté desactivado sin reemplazo visual","","Si se elimina outline predeterminado, debe existir indicador alternativo igualmente visible"
"50","TC - [A11y] - 2.4 - Navigable - 2.4.8 - Location","Test","Medium","A11Y;AAA","1","Navegar por diferentes secciones del sitio y verificar indicadores de ubicación","","Debe existir breadcrumbs, títulos de sección o indicadores que muestren ubicación del usuario"
"50","","","","","2","Revisar que breadcrumbs sean accesibles y reflejen jerarquía correcta","","Migas de pan deben ser navegables por teclado y estructuradas con lista ordenada"
"51","TC - [A11y] - 2.4 - Navigable - 2.4.9 - Link Purpose (Link Only)","Test","Medium","A11Y;AAA","1","Revisar texto de enlaces aisladamente, sin contexto circundante","","Cada enlace debe ser comprensible por sí mismo sin necesidad de contexto adicional"
"51","","","","","2","Identificar enlaces genéricos ('más información', 'leer más') y mejorarlos","","Enlaces ambiguos deben incluir contexto adicional mediante aria-label o aria-describedby"
"52","TC - [A11y] - 2.4 - Navigable - 2.4.10 - Section Headings","Test","Medium","A11Y;AAA","1","Revisar estructura de contenido y uso de encabezados","","Contenido debe organizarse con encabezados descriptivos que dividan información en secciones lógicas"
"52","","","","","2","Verificar que no existan bloques de texto largos sin encabezados intermedios","","Contenido extenso debe subdividirse con encabezados que faciliten escaneo y navegación"
"53","TC - [A11y] - 2.4 - Navigable - 2.4.11 - Focus Not Obscured (Minimum)","Test","Medium","A11Y;AA","1","Navegar con teclado y verificar visibilidad del foco en elementos cerca de bordes","","Al menos parte del indicador de foco debe permanecer visible, no completamente oculto por otros elementos"
"53","","","","","2","Probar navegación en áreas con headers fijos o elementos flotantes","","Barras pegajosas no deben cubrir completamente el elemento enfocado"
"54","TC - [A11y] - 2.4 - Navigable - 2.4.12 - Focus Not Obscured (Enhanced)","Test","Medium","A11Y;AAA","1","Verificar que el foco sea completamente visible en todas las situaciones","","Indicador de foco debe estar completamente visible sin ninguna obstrucción por otros elementos"
"54","","","","","2","Implementar scroll automático cuando elemento recibe foco fuera de viewport","","Contenido debe ajustarse automáticamente para mostrar completamente el elemento enfocado"
"55","TC - [A11y] - 2.4 - Navigable - 2.4.13 - Focus Appearance","Test","Medium","A11Y;AAA","1","Medir área y contraste del indicador de foco con herramientas especializadas","","Indicador debe tener área mínima suficiente y contraste alto para máxima visibilidad"
"55","","","","","2","Calcular que indicador tenga perímetro mínimo de 2 píxeles CSS o área equivalente","","Grosor y área del indicador deben cumplir requisitos específicos de WCAG 2.2"
"56","TC - [A11y] - 2.5 - Input Modalities - 2.5.1 - Pointer Gestures","Test","Medium","A11Y;A","1","Identificar funciones activadas por gestos complejos (deslizar, pellizcar)","","Funciones deben tener alternativa con gestos simples de un punto (tap, clic)"
"56","","","","","2","Verificar carruseles, mapas y componentes deslizables","","Debe existir botones o controles alternativos para usuarios con limitaciones motoras"
"57","TC - [A11y] - 2.5 - Input Modalities - 2.5.2 - Pointer Cancellation","Test","Medium","A11Y;A","1","Probar activación de elementos interactivos","","Función no debe ejecutarse en mousedown/touchstart, debe permitir cancelar soltando fuera del objetivo"
"57","","","","","2","Verificar que clics accidentales puedan cancelarse arrastrando fuera","","Usuario debe poder deshacer activación accidental moviendo puntero antes de soltar"
"58","TC - [A11y] - 2.5 - Input Modalities - 2.5.3 - Label in Name","Test","Medium","A11Y;A","1","Inspeccionar con lector de pantalla controles con etiquetas visibles","","Nombre accesible del control debe incluir el texto de su etiqueta visible"
"58","","","","","2","Verificar que comandos de voz puedan activar controles usando texto visible","","Usuarios de control por voz deben poder decir texto visible para activar elemento"
"59","TC - [A11y] - 2.5 - Input Modalities - 2.5.4 - Motion Actuation","Test","Medium","A11Y;A","1","Identificar funciones que usan acelerómetro o giroscopio","","Funciones activadas por movimiento del dispositivo deben tener alternativa con UI estándar"
"59","","","","","2","Verificar configuración para desactivar actuación por movimiento","","Usuario debe poder deshabilitar respuestas a movimiento para evitar activaciones accidentales"
"60","TC - [A11y] - 2.5 - Input Modalities - 2.5.6 - Concurrent Input Mechanisms","Test","Medium","A11Y;AAA","1","Probar sitio con múltiples dispositivos de entrada simultáneos (teclado + mouse + touch)","","Sitio debe soportar uso simultáneo de diferentes mecanismos de entrada sin restricciones"
"60","","","","","2","Verificar que cambiar de método de entrada no cause pérdida de funcionalidad","","Usuario debe poder alternar libremente entre teclado, mouse y touch sin problemas"
"61","TC - [A11y] - 2.5 - Input Modalities - 2.5.7 - Dragging Movements","Test","Medium","A11Y;AA","1","Identificar funciones de arrastrar y soltar","","Funciones de drag and drop deben tener alternativa con clics o taps simples"
"61","","","","","2","Probar alternativas de teclado para reordenar elementos","","Listas reordenables deben poder manipularse con teclado (flechas + Space/Enter)"
"62","TC - [A11y] - 2.5 - Input Modalities - 2.5.8 - Target Size (Minimum)","Test","Medium","A11Y;AA","1","Medir dimensiones de controles táctiles (botones, enlaces)","","Objetivos táctiles deben tener mínimo 24x24 píxeles CSS o espaciado equivalente"
"62","","","","","2","Verificar espaciado entre objetivos táctiles adyacentes","","Si objetivos son menores a 24px, debe existir espacio suficiente alrededor para evitar errores"
"63","TC - [A11y] - 3.1 - Readable - 3.1.1 - Language of Page","Test","Medium","A11Y;A","1","Inspeccionar atributo lang en etiqueta <html>","","Atributo lang debe estar presente y especificar idioma correcto del contenido principal"
"63","","","","","2","Verificar con lector de pantalla que pronunciación sea correcta","","Lector debe usar voz y reglas de pronunciación apropiadas al idioma declarado"
"64","TC - [A11y] - 3.1 - Readable - 3.1.2 - Language of Parts","Test","Medium","A11Y;AA","1","Identificar fragmentos de texto en idioma diferente al principal","","Elementos con cambio de idioma deben tener atributo lang apropiado"
"64","","","","","2","Probar lectura con lector de pantalla de citas o términos en otro idioma","","Cambios de idioma deben ser reconocidos y pronunciados correctamente"
"65","TC - [A11y] - 3.1 - Readable - 3.1.3 - Unusual Words","Test","Medium","A11Y;AAA","1","Identificar jerga, términos técnicos o palabras inusuales en el contenido","","Debe existir glosario, definiciones inline o mecanismo para explicar términos poco comunes"
"65","","","","","2","Verificar accesibilidad de definiciones mediante enlaces o elementos dfn/abbr","","Términos especializados deben vincularse a explicaciones accesibles"
"66","TC - [A11y] - 3.1 - Readable - 3.1.4 - Abbreviations","Test","Medium","A11Y;AAA","1","Localizar abreviaturas y acrónimos en el contenido","","Primera instancia de abreviaturas debe incluir expansión completa o enlace a definición"
"66","","","","","2","Implementar elemento abbr con atributo title donde sea apropiado","","Abreviaturas deben marcarse semánticamente para tecnologías asistivas"
"67","TC - [A11y] - 3.1 - Readable - 3.1.5 - Reading Level","Test","Medium","A11Y;AAA","1","Evaluar complejidad del texto y nivel de lectura requerido","","Contenido complejo debe tener versión simplificada o resumen para nivel de educación secundaria básica"
"67","","","","","2","Usar herramientas de análisis de legibilidad (Flesch-Kincaid, INFLESZ)","","Medir índices de legibilidad y proporcionar alternativas para contenido técnico o complejo"
"68","TC - [A11y] - 3.1 - Readable - 3.1.6 - Pronunciation","Test","Medium","A11Y;AAA","1","Identificar palabras donde pronunciación sea crítica para comprensión","","Debe existir mecanismo para indicar pronunciación (IPA, audio, texto fonético)"
"68","","","","","2","Verificar homógrafos y términos ambiguos con guías de pronunciación","","Palabras con múltiples pronunciaciones deben clarificarse cuando el contexto no sea suficiente"
"69","TC - [A11y] - 3.2 - Predictable - 3.2.1 - On Focus","Test","Medium","A11Y;A","1","Navegar con Tab a través de elementos interactivos","","Ningún elemento debe provocar cambio de contexto (navegación, envío) solo al recibir foco"
