"﻿ID","Work Item Type","Title","Test Step","Step Action","Step Expected","Automation Status","Area Path","State","Tags"
"","Test Case","TC - [A11y] - 1.2 - Time-based Media - 1.2.9 - Audio-only (Live)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Acceder a transmisión de solo audio en vivo (podcast, radio web, conferencia)","Debe existir alternativa equivalente presentada de forma sincronizada con el audio en vivo","","","",""
"","","","2","Verificar método de entrega de alternativa sincronizada","Alternativa puede ser transcripción en tiempo real, descripción textual sincronizada o contenido equivalente actualizado","","","",""
"","","","3","Comprobar que alternativa capture información esencial del audio en vivo","Contenido textual debe reflejar información crítica del audio con mínimo retraso aceptable","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.1 - Info and Relationships","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Inspeccionar código HTML de tablas, listas y encabezados con DevTools","Tablas usan thead/tbody/th con scope, listas usan ul/ol/li, encabezados usan h1-h6 jerárquicamente","","","",""
"","","","2","Verificar formularios con labels asociados programáticamente","Cada input debe tener label con atributo for o estar envuelto en label, visible para lectores de pantalla","","","",""
"","","","3","Revisar grupos de campos relacionados con fieldset y legend","Grupos de controles (radio buttons, checkboxes) deben estar agrupados con fieldset y legend descriptivo","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.2 - Meaningful Sequence","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Navegar el sitio solo con Tab y verificar orden de lectura","El orden de tabulación y DOM debe coincidir con el orden visual lógico del contenido","","","",""
"","","","2","Usar lector de pantalla para verificar orden de lectura del contenido","Orden de lectura debe ser lógico y coherente, sin saltos confusos causados por posicionamiento CSS","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.3 - Sensory Characteristics","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar instrucciones que usan solo forma, color o posición","Instrucciones deben incluir texto descriptivo además de referencias visuales (ej: 'botón verde Enviar' no solo 'botón verde')","","","",""
"","","","2","Verificar que información crítica no dependa únicamente de elementos sensoriales","Errores, alertas o pasos de proceso deben comunicarse con texto además de color, iconos o sonidos","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.4 - Orientation","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Rotar dispositivo o cambiar orientación del navegador","Contenido debe funcionar en orientación vertical y horizontal sin pérdida de funcionalidad","","","",""
"","","","2","Verificar que contenido no esté bloqueado en una sola orientación","Aplicación no debe forzar orientación específica a menos que sea esencial (ej: app de piano, cheque bancario)","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.5 - Identify Input Purpose","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Inspeccionar campos de formulario en código fuente","Campos comunes (nombre, email, teléfono) deben tener atributo autocomplete apropiado","","","",""
"","","","2","Probar autocompletado con datos guardados en navegador","Campos con autocomplete correcto deben sugerir valores guardados del usuario al comenzar a escribir","","","",""
"","Test Case","TC - [A11y] - 1.3 - Adaptable - 1.3.6 - Identify Purpose","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Revisar componentes de UI complejos y verificar propósito programático","Componentes deben identificar su propósito mediante atributos ARIA o semántica HTML para tecnologías asistivas","","","",""
"","","","2","Verificar iconos y elementos interactivos con inspector de accesibilidad","Botones, enlaces e iconos deben exponer su función mediante roles y nombres accesibles apropiados","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.1 - Use of Color","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar elementos donde el color transmite información (errores, estados, enlaces)","Información transmitida por color debe incluir indicador adicional (texto, icono, patrón)","","","",""
"","","","2","Probar sitio en modo escala de grises o con simulador de daltonismo","Toda información debe permanecer comprensible sin depender del color para distinguir elementos","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.2 - Audio Control","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Acceder a páginas con audio automático","Debe existir control visible para pausar, detener o silenciar audio que se reproduce más de 3 segundos","","","",""
"","","","2","Verificar que control de audio sea accesible por teclado","Control debe poder operarse sin mouse, usando Tab y Enter/Space","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.3 - Contrast (Minimum)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Medir contraste de texto con herramienta (ej: Colour Contrast Analyser)","Texto normal: mínimo 4.5:1, texto grande (18pt+ o 14pt bold+): mínimo 3:1","","","",""
"","","","2","Verificar contraste en todos los estados (normal, hover, focus, disabled)","Todos los estados de elementos interactivos deben cumplir ratios de contraste requeridos","","","",""
"","","","3","Revisar texto sobre imágenes o fondos degradados","Texto superpuesto debe tener contraste suficiente en toda su extensión o usar sombras/overlays","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.4 - Resize Text","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Hacer zoom al 200% en navegador","Texto debe ser legible y contenido accesible sin scroll horizontal ni superposiciones","","","",""
"","","","2","Verificar que controles y botones permanezcan operables al hacer zoom","Elementos interactivos no deben quedar cortados u ocultos al aumentar tamaño de texto","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.5 - Images of Text","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar texto renderizado como imagen","Texto debe estar en HTML real, no en imágenes (excepto logos o casos especiales)","","","",""
"","","","2","Inspeccionar gráficos y banners en busca de texto embebido","Títulos, etiquetas y texto informativo deben ser texto HTML estilizado con CSS, no imágenes","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.6 - Contrast (Enhanced)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Medir contraste de texto en elementos críticos con herramientas de análisis","Texto normal: mínimo 7:1, texto grande: mínimo 4.5:1 para cumplimiento AAA","","","",""
"","","","2","Documentar excepciones y planificar mejoras de contraste","Identificar áreas que no cumplen AAA y priorizar cambios en elementos más críticos","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.7 - Low or No Background Audio","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Reproducir contenido de audio y evaluar presencia de sonido de fondo","Audio de fondo debe ser removible, estar 20dB más bajo que el audio principal, o no existir","","","",""
"","","","2","Verificar control para desactivar música de fondo si existe","Usuario debe poder silenciar o reducir audio ambiental sin afectar narración principal","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.8 - Visual Presentation","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Verificar si el usuario puede personalizar espaciado, ancho de columna, alineación y fuentes","Sistema debe permitir ajustes de presentación visual sin pérdida de funcionalidad o contenido","","","",""
"","","","2","Probar legibilidad con configuraciones de sistema operativo (tamaño texto, contraste alto)","Contenido debe respetar preferencias del usuario definidas a nivel de sistema","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.9 - Images of Text (No Exception)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Revisar exhaustivamente todo el sitio en busca de texto renderizado como imagen","No debe existir texto en formato de imagen, todo debe ser texto HTML real (sin excepciones salvo logotipos)","","","",""
"","","","2","Inspeccionar elementos decorativos y verificar que texto sea estilizado con CSS","Efectos visuales en texto deben lograrse con CSS, no convirtiendo texto en imágenes","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.10 - Reflow","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Ajustar ventana a 320px de ancho o hacer zoom 400%","No debe requerirse scroll horizontal para leer contenido (excepto tablas complejas)","","","",""
"","","","2","Probar en dispositivo móvil real con viewport estrecho","Todo el contenido debe adaptarse fluidamente sin recortes ni necesidad de scroll bidireccional","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.11 - Non-text Contrast","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Medir contraste de componentes UI y estados de foco","Contraste mínimo 3:1 para bordes de componentes, iconos funcionales y indicadores de foco","","","",""
"","","","2","Verificar contraste de elementos gráficos informativos (gráficas, iconos de estado)","Elementos visuales que transmiten información deben distinguirse claramente del fondo","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.12 - Text Spacing","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Aplicar CSS de espaciado aumentado (line-height: 1.5, letter-spacing: 0.12em, etc)","Contenido debe permanecer legible y funcional sin recortes ni superposiciones","","","",""
"","","","2","Verificar que botones y controles no se rompan con espaciado modificado","Elementos interactivos deben mantener su funcionalidad y legibilidad con espaciados personalizados","","","",""
"","Test Case","TC - [A11y] - 1.4 - Distinguishable - 1.4.13 - Content on Hover or Focus","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Activar tooltips y contenido emergente con hover y teclado","Contenido adicional debe ser accesible por teclado, permanecer visible y poder cerrarse sin mover puntero","","","",""
"","","","2","Verificar que contenido emergente no desaparezca al mover puntero sobre él","Usuario debe poder mover cursor sobre tooltip para leer o interactuar sin que desaparezca","","","",""
"","","","3","Comprobar mecanismo de cierre accesible (ESC o botón cerrar)","Contenido emergente debe poder cerrarse sin mover puntero del trigger que lo activó","","","",""
"","Test Case","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.1 - Keyboard","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Navegar todo el sitio usando solo teclado (Tab, Enter, Space, flechas)","Todas las funciones deben ser operables: menús, modales, formularios, controles interactivos","","","",""
"","","","2","Probar componentes complejos (acordeones, pestañas, calendarios)","Widgets personalizados deben responder a teclas apropiadas (flechas, Home, End, Escape)","","","",""
"","","","3","Verificar que todas las acciones de mouse tengan equivalente de teclado","Drag and drop, hover menus, gestos táctiles deben tener alternativas operables por teclado","","","",""
"","Test Case","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.2 - No Keyboard Trap","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Navegar con Tab a través de todos los componentes","Usuario debe poder salir de cualquier componente usando solo teclado (Tab, Shift+Tab, Esc)","","","",""
"","","","2","Probar modales, diálogos y overlays con navegación de teclado","Foco debe poder moverse libremente dentro del componente y salir de él sin quedar atrapado","","","",""
"","Test Case","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.3 - Keyboard (No Exception)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Verificar que absolutamente todas las funciones sean operables por teclado","No debe haber ninguna función que requiera mouse o gestos, todas deben tener equivalente de teclado","","","",""
"","","","2","Documentar funciones que requieren trayectoria específica del puntero","Si función requiere path específico (firma, dibujo), debe existir alternativa de teclado o método alternativo","","","",""
"","Test Case","TC - [A11y] - 2.1 - Keyboard Accessible - 2.1.4 - Character Key Shortcuts","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Probar atajos de teclado de caracteres individuales si existen","Atajos deben poder desactivarse, remapearse o solo funcionar cuando componente tiene foco","","","",""
"","","","2","Verificar que atajos no interfieran con lectores de pantalla o herramientas asistivas","Combinaciones de teclas deben evitar conflictos con comandos de tecnologías asistivas","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.1 - Timing Adjustable","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar temporizadores o sesiones con límite de tiempo","Usuario debe poder extender, ajustar o desactivar límites de tiempo antes de expirar","","","",""
"","","","2","Verificar advertencia previa antes de que expire el tiempo","Sistema debe alertar con suficiente anticipación y permitir extensión simple (ej: presionar botón)","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.2 - Pause, Stop, Hide","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar contenido en movimiento automático (carruseles, animaciones)","Debe existir control accesible para pausar, detener u ocultar contenido que se mueve más de 5 segundos","","","",""
"","","","2","Verificar que control de pausa sea visible y operable por teclado","Botones de pausa/play deben estar claramente visibles y accesibles sin necesidad de mouse","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.3 - No Timing","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Revisar todos los procesos y verificar existencia de timeouts","No debe haber límites de tiempo en ninguna interacción, o deben existir alternativas sin tiempo","","","",""
"","","","2","Documentar excepciones donde tiempo sea requisito real-time","Identificar eventos en vivo o subastas donde límite de tiempo sea esencial y no pueda eliminarse","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.4 - Interruptions","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Probar interrupciones del sistema (notificaciones, alertas automáticas)","Usuario debe poder posponer o suprimir interrupciones excepto emergencias","","","",""
"","","","2","Verificar configuración de preferencias de notificaciones","Sistema debe ofrecer controles para gestionar frecuencia y tipo de interrupciones","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.5 - Re-authenticating","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Dejar sesión expirar y volver a autenticarse","Datos ingresados deben preservarse tras re-autenticación sin pérdida de información","","","",""
"","","","2","Probar con formularios largos y verificar recuperación de datos","Información en progreso debe guardarse automáticamente o recuperarse después de relogin","","","",""
"","Test Case","TC - [A11y] - 2.2 - Enough Time - 2.2.6 - Timeouts","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar timeouts de sesión y verificar manejo","Sistema debe advertir sobre timeouts con suficiente anticipación y permitir guardar datos","","","",""
"","","","2","Verificar que usuario pueda guardar trabajo antes de timeout","Aviso debe incluir opción clara para guardar progreso o extender sesión","","","",""
"","Test Case","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.1 - Three Flashes or Below Threshold","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Revisar animaciones y transiciones del sitio","No debe haber contenido que destelle más de 3 veces por segundo","","","",""
"","","","2","Usar herramienta PEAT (Photosensitive Epilepsy Analysis Tool) si disponible","Analizar contenido multimedia para identificar destellos que puedan causar convulsiones","","","",""
"","Test Case","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.2 - Three Flashes","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Analizar exhaustivamente animaciones, videos y contenido dinámico","No debe existir ningún destello que supere límites seguros, sin excepciones","","","",""
"","","","2","Revisar contenido de terceros embebido (ads, videos externos)","Contenido externo no debe contener destellos peligrosos o debe poder desactivarse","","","",""
"","Test Case","TC - [A11y] - 2.3 - Seizures and Physical Reactions - 2.3.3 - Animation from Interactions","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Verificar animaciones de movimiento activadas por scroll o interacción","Usuario debe poder desactivar animaciones de movimiento que no sean esenciales","","","",""
"","","","2","Comprobar respeto a preferencia prefers-reduced-motion del sistema","Sitio debe detectar y respetar configuración de sistema operativo para reducir movimiento","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.1 - Bypass Blocks","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Navegar con teclado desde inicio de página","Debe existir enlace 'Saltar al contenido principal' visible al presionar Tab o landmarks ARIA apropiados","","","",""
"","","","2","Verificar landmarks ARIA (main, nav, complementary, contentinfo)","Estructura debe usar roles de landmark para permitir navegación rápida con lectores de pantalla","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.2 - Page Titled","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Revisar elemento <title> en cada página del sitio","Cada página debe tener título único y descriptivo que identifique su contenido","","","",""
"","","","2","Verificar que título siga formato consistente (contenido - sección - nombre sitio)","Títulos deben seguir patrón predecible facilitando identificación en pestañas e historial","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.3 - Focus Order","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Navegar con Tab en orden y verificar lógica visual","Orden de foco debe seguir secuencia lógica de izquierda a derecha, arriba a abajo","","","",""
"","","","2","Identificar elementos con tabindex positivo y evaluar necesidad","Evitar tabindex mayor a 0, orden debe controlarse mediante estructura DOM lógica","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.4 - Link Purpose (In Context)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Revisar todos los enlaces del sitio","Texto del enlace o contexto circundante debe describir claramente su destino (evitar 'clic aquí')","","","",""
"","","","2","Usar lector de pantalla para listar todos los enlaces","Enlaces deben ser comprensibles cuando se presentan fuera de contexto en lista de enlaces","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.5 - Multiple Ways","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Intentar localizar una página interna de diferentes formas","Debe existir menú de navegación, buscador interno, mapa del sitio o breadcrumbs","","","",""
"","","","2","Verificar que al menos dos métodos de navegación estén disponibles","Usuario debe poder elegir entre diferentes estrategias para localizar contenido","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.6 - Headings and Labels","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Inspeccionar encabezados (h1-h6) y labels de formularios","Encabezados deben describir secciones claramente, labels deben identificar propósito de campos","","","",""
"","","","2","Usar lector de pantalla para navegar por encabezados","Estructura de encabezados debe permitir comprensión rápida de organización del contenido","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.7 - Focus Visible","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Navegar con Tab y observar indicador de foco","Elementos interactivos deben mostrar indicador visual claro y contrastado al recibir foco","","","",""
"","","","2","Verificar que outline no esté desactivado sin reemplazo visual","Si se elimina outline predeterminado, debe existir indicador alternativo igualmente visible","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.8 - Location","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Navegar por diferentes secciones del sitio y verificar indicadores de ubicación","Debe existir breadcrumbs, títulos de sección o indicadores que muestren ubicación del usuario","","","",""
"","","","2","Revisar que breadcrumbs sean accesibles y reflejen jerarquía correcta","Migas de pan deben ser navegables por teclado y estructuradas con lista ordenada","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.9 - Link Purpose (Link Only)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Revisar texto de enlaces aisladamente, sin contexto circundante","Cada enlace debe ser comprensible por sí mismo sin necesidad de contexto adicional","","","",""
"","","","2","Identificar enlaces genéricos ('más información', 'leer más') y mejorarlos","Enlaces ambiguos deben incluir contexto adicional mediante aria-label o aria-describedby","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.10 - Section Headings","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Revisar estructura de contenido y uso de encabezados","Contenido debe organizarse con encabezados descriptivos que dividan información en secciones lógicas","","","",""
"","","","2","Verificar que no existan bloques de texto largos sin encabezados intermedios","Contenido extenso debe subdividirse con encabezados que faciliten escaneo y navegación","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.11 - Focus Not Obscured (Minimum)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Navegar con teclado y verificar visibilidad del foco en elementos cerca de bordes","Al menos parte del indicador de foco debe permanecer visible, no completamente oculto por otros elementos","","","",""
"","","","2","Probar navegación en áreas con headers fijos o elementos flotantes","Barras pegajosas no deben cubrir completamente el elemento enfocado","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.12 - Focus Not Obscured (Enhanced)","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Verificar que el foco sea completamente visible en todas las situaciones","Indicador de foco debe estar completamente visible sin ninguna obstrucción por otros elementos","","","",""
"","","","2","Implementar scroll automático cuando elemento recibe foco fuera de viewport","Contenido debe ajustarse automáticamente para mostrar completamente el elemento enfocado","","","",""
"","Test Case","TC - [A11y] - 2.4 - Navigable - 2.4.13 - Focus Appearance","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Medir área y contraste del indicador de foco con herramientas especializadas","Indicador debe tener área mínima suficiente y contraste alto para máxima visibilidad","","","",""
"","","","2","Calcular que indicador tenga perímetro mínimo de 2 píxeles CSS o área equivalente","Grosor y área del indicador deben cumplir requisitos específicos de WCAG 2.2","","","",""
"","Test Case","TC - [A11y] - 2.5 - Input Modalities - 2.5.1 - Pointer Gestures","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar funciones activadas por gestos complejos (deslizar, pellizcar)","Funciones deben tener alternativa con gestos simples de un punto (tap, clic)","","","",""
"","","","2","Verificar carruseles, mapas y componentes deslizables","Debe existir botones o controles alternativos para usuarios con limitaciones motoras","","","",""
"","Test Case","TC - [A11y] - 2.5 - Input Modalities - 2.5.2 - Pointer Cancellation","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Probar activación de elementos interactivos","Función no debe ejecutarse en mousedown/touchstart, debe permitir cancelar soltando fuera del objetivo","","","",""
"","","","2","Verificar que clics accidentales puedan cancelarse arrastrando fuera","Usuario debe poder deshacer activación accidental moviendo puntero antes de soltar","","","",""
"","Test Case","TC - [A11y] - 2.5 - Input Modalities - 2.5.3 - Label in Name","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Inspeccionar con lector de pantalla controles con etiquetas visibles","Nombre accesible del control debe incluir el texto de su etiqueta visible","","","",""
"","","","2","Verificar que comandos de voz puedan activar controles usando texto visible","Usuarios de control por voz deben poder decir texto visible para activar elemento","","","",""
"","Test Case","TC - [A11y] - 2.5 - Input Modalities - 2.5.4 - Motion Actuation","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar funciones que usan acelerómetro o giroscopio","Funciones activadas por movimiento del dispositivo deben tener alternativa con UI estándar","","","",""
"","","","2","Verificar configuración para desactivar actuación por movimiento","Usuario debe poder deshabilitar respuestas a movimiento para evitar activaciones accidentales","","","",""
"","Test Case","TC - [A11y] - 2.5 - Input Modalities - 2.5.6 - Concurrent Input Mechanisms","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Probar sitio con múltiples dispositivos de entrada simultáneos (teclado + mouse + touch)","Sitio debe soportar uso simultáneo de diferentes mecanismos de entrada sin restricciones","","","",""
"","","","2","Verificar que cambiar de método de entrada no cause pérdida de funcionalidad","Usuario debe poder alternar libremente entre teclado, mouse y touch sin problemas","","","",""
"","Test Case","TC - [A11y] - 2.5 - Input Modalities - 2.5.7 - Dragging Movements","","","","Not Automated","Accesibilidad","Ready","A11Y"
"","","","1","Identificar funciones de arrastrar y soltar","Funciones de drag and drop deben tener alternativa con clics o taps simples","","","",""
